Crime Description,Latitude,Longitude,Hour
ASSAULT,28.786978024277982,77.39936436961425,8
FRAUD,28.619439219876025,77.44258521663636,18
FIREARM OFFENSE,28.82929895995569,77.20683013534686,7
VANDALISM,28.74868401452968,77.12167762696014,12
ASSAULT,28.447088673943824,77.02198583411148,15
DRUG OFFENSE,28.887811175818378,77.29554141094742,4
KIDNAPPING,28.780569850995175,77.45493474528125,3
VEHICLE - STOLEN,28.793032152638474,77.33894401276017,20
VANDALISM,28.46405681633777,77.15862429894737,7
FRAUD,28.625192968947783,77.32144416214499,8
VANDALISM,28.58539901211629,77.41603420372401,14
IDENTITY THEFT,28.8633824944243,77.23791502967472,2
SEXUAL ASSAULT,28.72193256004033,77.40987424499892,1
BURGLARY,28.811380806635412,77.19595483833318,9
ARSON,28.621707099413666,77.17425283929788,23
ILLEGAL POSSESSION,28.51361936089239,77.29149431293928,13
ILLEGAL POSSESSION,28.677292393507916,77.23234320884724,13
ILLEGAL POSSESSION,28.431908628052085,77.48855596023054,14
ILLEGAL POSSESSION,28.813815585996288,77.25819471176409,20
ROBBERY,28.71583219956103,77.19258601445802,20
BURGLARY,28.779043870042685,77.19746677156427,0
BURGLARY,28.577262984064934,77.27396997530656,12
PUBLIC INTOXICATION,28.88534901219745,77.1774560190041,13
DRUG OFFENSE,28.846560560661096,77.36145330098246,5
FRAUD,28.78919174853688,77.19033146385082,23
VEHICLE - STOLEN,28.49731935392598,77.19207219326262,6
COUNTERFEITING,28.633360501863514,77.3084866246884,20
VANDALISM,28.421901882893614,77.030423436348,2
ROBBERY,28.477144746033773,77.32767745905757,14
DRUG OFFENSE,28.741524476621226,77.25248610857935,17
EXTORTION,28.772381077953906,77.22651305714332,12
BURGLARY,28.883754866217103,77.35962649535398,2
VEHICLE - STOLEN,28.562912679069075,77.37912789100243,2
VANDALISM,28.585229853017434,77.42313043170623,14
IDENTITY THEFT,28.634777905637904,77.18740156040873,20
ROBBERY,28.494735679542142,77.16351884612669,14
FRAUD,28.464960752667736,77.35717105074725,2
FRAUD,28.637852463112967,77.29090242957022,18
TRAFFIC VIOLATION,28.51345467452544,77.31590077317591,11
VEHICLE - STOLEN,28.734906997341255,77.27776145355291,1
ARSON,28.618575959436164,77.38634651160193,8
ASSAULT,28.816339098028916,77.09502044424607,4
VEHICLE - STOLEN,28.750132551001123,77.2778560663707,23
SEXUAL ASSAULT,28.55618332069102,77.07905089447182,21
FRAUD,28.8161299006976,77.2036259696455,2
SHOPLIFTING,28.8023821787484,77.33199691170803,13
FRAUD,28.593739189515087,77.24653580415709,0
ILLEGAL POSSESSION,28.544164051965122,77.1897957683361,10
FIREARM OFFENSE,28.741247751987487,77.4424850007078,3
ROBBERY,28.469876241804652,77.38641285724874,17
ILLEGAL POSSESSION,28.499954101237552,77.26314539250019,1
FIREARM OFFENSE,28.4036811348755,77.47502657783774,21
DRUG OFFENSE,28.793462188751068,77.2121826447175,5
IDENTITY THEFT,28.732425428296015,77.39403646379405,6
COUNTERFEITING,28.752582689313165,77.0839681199007,21
FRAUD,28.790364515510984,77.1428962385553,21
KIDNAPPING,28.629457887769167,77.16904279066698,2
PUBLIC INTOXICATION,28.684370597976447,77.05291037635226,2
FIREARM OFFENSE,28.469898499063827,77.25090240753804,20
ASSAULT,28.457265036767986,77.09613006706324,23
EXTORTION,28.734201480895234,77.31709294472483,11
FRAUD,28.635548103071564,77.09504617978651,3
PUBLIC INTOXICATION,28.682618053240592,77.06175312866964,3
HOMICIDE,28.78249942870801,77.48454336379946,6
ASSAULT,28.717359160000292,77.32912015290556,16
DOMESTIC VIOLENCE,28.676789700328996,77.46822545735425,2
DOMESTIC VIOLENCE,28.679603580372707,77.24494389599661,15
CYBERCRIME,28.551975049031306,77.01670123153168,19
FIREARM OFFENSE,28.41540891728397,77.28718558521572,3
ARSON,28.61835869461618,77.27916444341786,23
BURGLARY,28.507292336409762,77.0074878029683,23
COUNTERFEITING,28.604264321862317,77.43062102220091,7
VANDALISM,28.826701536634083,77.30998534030822,2
VEHICLE - STOLEN,28.51696974293267,77.37234558468808,7
KIDNAPPING,28.429151370844533,77.24696055307875,6
DRUG OFFENSE,28.540691946011,77.30920121895413,6
IDENTITY THEFT,28.54679687888334,77.12873494661426,22
EXTORTION,28.730958257363447,77.48687888388433,3
PUBLIC INTOXICATION,28.678516076170638,77.20036000377384,7
SHOPLIFTING,28.791949104553204,77.08116331066881,18
